停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
公有收費停車場,A01421,善化區臺鐵南科車站東側停車場(機車),臺南市善化區臺南市善化區西拉雅大道與南科火車站善新西路交叉口,0975166001,-1,0,0,0,0,0,228,4,24小時,臨停：每小時10元，當日最高30元。 月租：每月700元。,23.107712，120.302394,
公有收費停車場,A01431,善化區臺鐵南科車站西側停車場(機車),臺南市善化區臺南市善化區西拉雅大道與南科火車站交叉路口,0975166001,-1,0,0,0,0,0,278,6,24小時,機車:每小時10元，當日最高30元。 月租:每月700元。,23.107316，120.303056,昱興國際有限公司
公有收費停車場,A01461,善化區臺鐵南科東站東側停車場(汽車),臺南市善化區臺南市善化區西拉雅大道與南科火車站善新西路交叉口,0975166001,0,0,58,1,2,1,0,0,24小時,臨停：每半小時10元，當日最高160元。 月租：每月3，000元。,23.107966，120.302103,
公有收費停車場,A01471,善化區臺鐵南科車站西側停車場(汽車),臺南市善化區臺南市善化區西拉雅大道與南科火車站交叉路口,0975166001,6,0,21,1,1,1,0,0,24小時,臨停:每半小時10元，當日最高100元。 月租:每月2，500元。,23.107982，120.302714,昱興國際有限公司
公有收費停車場,A01481,新市區富中街停車場,臺南市新市區臺南市新市區富中街與民生路交叉路口,0975166001,111,0,122,2,3,2,0,0,24小時,臨停:每半小時10元，當日最高100元。 月租:每月2，500元。,23.079851，120.288075,昱興國際有限公司
公有收費停車場,A01491,新市區富安三街停車場,臺南市新市區臺南市新市區富安三街與富安路交叉路口,0975166001,89,0,166,3,3,3,0,0,24小時,臨停:每半小時10元，當日最高100元。 月租:每月2，500元。,23.081723，120.288867,昱興國際有限公司
公有收費停車場,A01501,新市區明大停車場,臺南市新市區臺南市新市區信義街與綠園一街交叉路口,0975166001,14,0,27,1,1,1,0,0,24小時,臨停:每半小時10元，當日最高100元。 月租:每月2，500元。,23.073274，120.289969,昱興國際有限公司
公有收費停車場,A01511,億載停車場,臺南市安平區永華路2段與光州路路口西南側,06-2087743,90,0,86,2,2,2,102,0,24小時,汽車臨停：20元/時 汽車月租：3000元/月 ,22.991168，120.159479,
公有收費停車場,A01521,水景停車場,臺南市安平區安北路水景公園旁,06-2087743,133,19,125,4,4,4,0,0,24小時,臨停：20元/時 月租：3000元/月,22.999175，120.157886,
公有收費停車場,A01531,港濱停車場(第一區),臺南市安平區安億路與平豐路路口西北側,06-2087743,21,0,36,0,0,2,0,0,24小時,臨停計費：20元/時 一般月租：3000元/月 里民月租：2100元/月 身障月租：1500元/月 ,22.994969，120.163416,委託台灣國際公司經營管理
公有收費停車場,A01541,港濱停車場(第二區),臺南市安平區台南市安平區安億路與平豐路交叉口,06-2087743,38,0,20,1,1,0,0,0,24小時,臨停計時：20元/每小時 一般月租：每月3000元 里民月租：每月2100元 身障月租：每月1500元,22.995055，120.163672,委託台灣國際公司營運管理
公有收費停車場,A01551,林默娘停車場,臺南市安平區安億路林默娘公園旁,06-2087743,182,0,171,4,4,4,212,0,24小時,汽車臨停：20元/時 汽車月租：3000元/月 機車免費,22.9928133，120.15703,
公有收費停車場,A01561,LM陽光電城停車場,臺南市新市區臺南市新市區龍目井路北側,0809-050-550,60,0,95,2,2,2,70,1,24小時,小型車20元/時，停車時數未滿1小時者，以1小時計算收費。停車時數逾1小時以上，未滿半小時以半小時計費。機車免費。,23.109646，120.306574,和雲行動服務
公有收費停車場,A01571,復興路公有路外停車場,臺南市永康區臺南市政府消防局第五救災救護大隊復興分隊西側,0800-208-333,7,0,17,2,2,2,0,0,24小時,每小時20元,22.998754，120.244332,1100406開始收費，非都市計畫區
公有收費停車場,A01581,復華一街公有路外停車場,臺南市永康區復華一街與復華一街19巷交叉口,0800-208-333,11,0,49,2,2,2,0,0,24小時,每小時20元,23.005287，120.245211,1100406開始收費，非都市計畫區
公有收費停車場,A01601,臺鐵南科車站西側(第二區)停車場,臺南市善化區台南市善化區西拉雅大道橋下與善新西路旁(善化段2195-22號),0809-050-550,24,0,30,1,1,1,0,0,24小時,小型車20元/時，停車時數未滿1小時者，以1小時計算收費。停車時數逾1小時以上，未滿半小時以半小時計費。,23.107950，120.301600,和雲行動服務
公有收費停車場,A01621,廣二機車停車場(台灣國際開發事業有限公司營運),臺南市東區中華東路3段380巷西側,06-208-7743(東光地下停車場),382,0,0,0,0,0,377,8,24小時,20元/次，隔夜停放次日重新計次收費。 月租每月600元。 TEL:06-290-9104(森活機車停車場，11點後有人),22.974407，120.219962,公辦民營 到期日:107.04.11
公有收費停車場,A01631,開南街停車場,臺南市北區北區開元路與開南街西側,06-2215099,8,0,54,2,2,2,0,0,24小時,臨停：20元/時，第1小時(內)收費20元，爾後每增加半小時(內)加收10元。 月租：3000元。,23.008003，120.222261,
公有收費停車場,A01661,友愛街機車停車場,臺南市中西區友愛街台南市美術館1館的對面,2210036,72,0,0,0,0,0,96,2,24小時,次/20元,22.9910136，120.2057289,俥亭停車事業股份有限公司經營
公有收費停車場,A01691,目加溜灣橋下停車場,臺南市善化區目加溜灣大道與善新西路交叉路口,0809-050-550,47,0,61,2,2,2,0,0,24小時,小型車20元/時，停車時數未滿1小時者，以1小時計算收費。停車時數逾1小時以上，未滿半小時以半小時計費。 ,23.119174，120.305088,和雲行動服務
公有收費停車場,A01701,南瀛綠都心公園地下停車場,臺南市新營區民權里中正路23-1號B1,06-6323575,85,0,279,6,6,15,0,0,24小時,1.臨停：20元/時，當日最高150元。2.本停車場提供12支電動車充電樁，1度電收費7元充電服務費。  ,23.30978，120.31604,公有委外經營 提供12支汽車充電樁服務 
公有收費停車場,A01711,大宏社區公園停車場,臺南市新營區三民段一地號,06-6323575,11,0,23,1,1,2,0,0,24小時,1.臨停：20元/時，當日最高150元。2.本停車場提供1支電動車充電樁，1度電收費7元充電服務費。  ,23.307886，120.317136,公有委外經營 
公有收費停車場,A01721,平實公園地下停車場,臺南市東區東區平實路101號,06-2210036,71,0,203,5,6,12,0,0,24小時,計時：20元/時，月租：每月3，000元。,22.992919，120.236380,公辦民營
公有收費停車場,A01731,中華路58巷停車場,臺南市永康區成功里中華路58巷旁,06-2210036,19,0,45,2,2,3,0,0,24小時,計時：20元/時，月租：每月3，000元。,23.002426，120.237340,公辦民營
公有收費停車場,A01741,北園公兒停車場,臺南市北區北園街114巷,06-2210036,104,6,150,4,4,9,143,4,24小時,計時：小型車每小時收費20元 計時：大型車每小時收費40元 計月：小型車每月月租收費3，000元 計月：大型車每月月租收費5，000元 機車：免費 ,23.013079，120.224648,公辦民營
公有收費停車場,A01751,大道停6停車場,臺南市北區和緯路與北門路口,06-2210036,39,0,49,2,2,3,0,0,24小時,20元/時,23.009284，120.215714,101.03.05收費1031025停止收費64格1070801恢復(1920平方公尺)和緯路與北門路口1080401停收1081115恢復收費111.06.01委外收費56格
公有收費停車場,A01761,運河星鑽停車場,臺南市中西區府前一路與金華新路交叉口,06-2210036,13,0,24,1,1,2,16,1,24小時,汽車：每小時20元 機車：免費,22.994312，120.188520,111.06.01委外收費
公有收費停車場,A01761,運河路停車場,臺南市安平區台南市安平區運河路9號對面,06-2289846,13,0,143,4,4,8,60,2,24小時,每小時20元，機車免費,22.998842，120.162509,
公有收費停車場,A01771,新建路停車場,臺南市南區台南市南區新建路與新建路3巷口,06-2289846,43,0,81,2,2,6,0,0,24小時,每小時20元,22.976035，120.185684,
公有收費停車場,B00001,海安路地下停車場(璨驛股份有限公司經營),臺南市中西區海安路一段188號B1,0800-208-333，06-2289846,429,0,963,28,21,24,0,0,24小時,平日：第1個小時20元，之後每半小時10元；當日收費上限200元。 假日：第1個小時30元，之後每半小時15元；當日收費上限300元。 月租費率：每月2500元。,22.991037，120.195617,公辦民營
公有收費停車場,B00012,永康中華立體停車場,臺南市永康區華興街77號,312-1033,67,0,274,5,5,5,0,0,24小時 ,20元/時 ,23.000707，120.237698,公辦民營--永康區公所管理 俥亭停車事業股份有限公司經營
公有收費停車場,B00013,永康區復國里停(七)停車場,臺南市永康區復國一路150巷26號旁,,25,0,43,1,1,0,0,0,24小時,20元/時,23.005257，120.247223,公辦民營--永康區公所管理 俥亭停車事業股份有限公司經營
公有收費停車場,B00014,仁德立體停車場(傳忠有限公司),臺南市仁德區臺南市仁德區正義一街41號,06-249-03500979-809908,44,0,201,6,4,1,72,2,24小時,臨停:第一小時20元，第二小時起未滿半小時者，以半小時計算；逾半小時以上，如不逾15分鐘者以半小時計算，如逾15分鐘者以1小時計算 月租:每月1700元,22.972604，120.253466,公辦民營(仁德區公所管轄) 傳忠有限公司經營
公有收費停車場,B00015,新市國小地下停車場,臺南市新市區中興路1號B1,06-2289846,25,0,152,3,3,3,0,0,24小時 ,臨停:每小時20元。 其他月租或優惠依現場公告為主。,23.078299，120.2953306,公辦民營-新市區公所管理，竑穗興業股份有限公司營運 到期日:112.12.31
公有收費停車場,B00016,長榮崇明停車場(日月亭股份有限公司營運),臺南市東區長榮路一段與長榮路一段15巷交叉口,06-2089516(日)221-0036(夜),13,0,13,1,1,1,13,0,24小時,臨停：小型車20元/時,22.982578，120.216159,106.08.21公告收費 107.01.01委外收費 電話:06-208-9516(日)221-0036(夜) 
公有收費停車場,B00017,新營區三民路站前停車場,臺南市新營區新營區三民路與三民路8巷交叉口,,31,0,79,2,2,2,428,10,,汽車：30元/次 機車：10元/次,23.307608，120.321036,新營區公所營運
公有收費停車場,B00018,麻豆市五停車場,臺南市麻豆區麻豆區中正路80-33號,,14,0,89,1,1,1,0,0,24小時,30元/次 1.2萬/年 會員8000元/年 代表4000元/年,23.185570，120.249703,
公有收費停車場,B00019,楠西區都市計畫停二立體停車場,臺南市楠西區楠西區民生路12號,,0,0,38,1,1,1,96,2,,汽車：臨停20元/時。月租里民500元/月；一般3000元/月。 機車：臨停10元/時。月租里民300元/月；一般1500元/月。,,公所營運
公有收費停車場,D00055,府前路市政園區路外停車場,臺南市安平區臺南市安平區永華路2段6號市府北面臨府前路廣場,06-2138172,10,0,62,4,2,0,0,0,上午8時至下午10時,(一)上班時段：洽公民眾上班日，前1小時免，第2小時起，每小時20元，每日最高收費100元(收費時間8時至18時)。 (二)非上班時段:一般民眾，以每小時20元計收(星期一至星期五18時至22時，例假日及國定假日為8時至22時)。,22.992667，120.185057,
